"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Difficult Stay","3","2025-09","2025-09-07","It was not a good experience. We faced lot of problems for our car parking. No space at all. Moreover, it is very busy road to park outside. Room was very small. Not enough space. Food quality is great. Room hygiene is also ok. But I am not willing to visit again.","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r1029230653-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452392029","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","1200","0","4","www.tripadvisor.com/Profile/Global22635350937","Global22635350937","99A9D88D58DD38CE4764FBB3D8FE653A",,,,,"Global22635350937",,"General Manager","1034758894","en","2025-10-13","Thilak S","Dear Global 22635350937, thank you for visiting The President Hotel Jayanagar. We are deeply concerned that your experience at the hotel was not satisfactory for which we are sincerely apologetic. We have very limited parking space however our valet parking service is  available and our drivers takes care of all the parking , we don't want our guests to wait to park their cars . Request you to consider this as one of instance. Please visit us again . Looking forward to welcoming you back.

Warm Regards 

Thilak.S
General Manager ","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Very Good place to Stay","5","2025-07","2025-07-13","Clean and very Comfort rooms.. Service is too good. Food is very nice. Overall my stay was Very Good. Very good hotel to saty in side the main city","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r1018075898-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452391125","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","1200","0","1","www.tripadvisor.com/Profile/Quest48994342196","Quest48994342196","0664A04C5CD0951A42BF8D7D6401F617",,"12389092","Hyderabad District, India","Hyderabad District","Quest48994342196",,"General Manager","1031050655","en","2025-09-18","Thilak S","Dear Quest 48994342196,thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. Your accolades for our clean and comfort room and good service is truly appreciated.
We truly look forward welcoming you back to the hotel.
Warm regards,
Thilak.S
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Stay at The President","5","2024-11","2024-12-02","It was a great stay... Good clean rooms located at the center of the city.. There were lot of shopping options nearby.. The room is fine but the bathroom is slightly tiny.. but clean and well maintained.. 24 hours hot water is available which is a blessing in this cold weather","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r982948864-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452387558","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg","1200","0","1","www.tripadvisor.com/Profile/Voyage25079480168","Voyage25079480168","2469AFB6BB70DDC194C9C2CF2158BD27",,,,,"Voyage25079480168",,"General Manager","983477329","en","2024-12-07","Thilak S","Dear Voyage25079480168, thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. Your accolades for our location , clean rooms, clean and well maintained bathroom is truly appreciated.  On your next visit will ensure you that we will provide room with a larger bathroom . 
We truly look forward welcoming you back to the hotel.
Warm regards,
Thilak.S
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Great location, great staff, great hotel and great food","5","2024-07","2024-09-05","We were visiting Bengaluru from US for a few days.  We booked President hotel for second year in a row.  The location is excellent (centrally located).  The breakfast was great with lots of variety.  The service staff at breakfast and the cleaning crew was extremely helpful and did a great job.  Always smiling and doing things we asked.  The two restaurants, Gufha and Andhra Ruchulu served excellent food.

We have to thank the manager Mr. Venkatesh.  His boss was out of town with family emergency and Mr Venkatesh was working every day.  But he was always smiling and very helpful to all the guests.  Thanks you, Mr. Venkatesh!

We look forward to visiting you again next year!","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r968470859-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452391968","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","1200","2","4","www.tripadvisor.com/Profile/229jayc","Jay C","78C72BF4FD10554C007D893C3E988E9F",,"36422","Naperville, Illinois","Naperville","229jayc",,"General Manager","969366745","en","2024-09-11","Thilak S","Dear Jay C   thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. Your accolades for our location and to our both the restaurants is truly appreciated. 
Thank you for acknowledging the exceptional service provided by our staff. We pride ourselves on our team's dedication to guest satisfaction, and your feedback is a wonderful encouragement. I'm  thrilled to hear that Venkatesh has made a great impression on you with his friendly and attentive service. I will ensure that he will be recognized for his exemplary service. 

We truly look forward welcoming you back to the hotel. 

Warm regards,

Thilak.S
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Demand for additional payment for early check in, the amount mentioned was half of the room price for a day.","3","2024-07","2024-07-17","Me and my husband reserved the stay for a day and called the hotel reception two days in advance to let us early checkin. Since we were running on tight schedule, early checkin at 07:30am was important and unavoidable. There was no mention of additional charges for the early checkin during our enquiry. On the day of checkin the lady at the reception demanded half the room price as early checkin charges. After I told her about my previous enquiries, she asked me to show the proof of my enquiry, I had to show her the call logs which I was not happy as this is personal. Coming from long overnight journey with prereserved and pre enquired request, I did not expect this behaviour during our checkin. At the end she did not charge extra but what if I had not shown her my call logs as proof? And what if the guests are under personal pressure or trauma during the visit. What if I had no additional amount? Please consider this.","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r959906617-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452392029","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","1200","0","1","www.tripadvisor.com/Profile/Getaway44699526020","Deepika Awaraddi","814C076ED1298F10105FEB0EE04C0F68",,"187373","Düsseldorf, Germany","Düsseldorf","Getaway44699526020",,,,,,,,"#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Review for The President Hotel","5","2024-06","2024-06-11","We had an excellent stay with comfortable bed, neat and clean room. The staff was absolutely well behaved and helpful. The food was tasty. We even booked a car for airport pickup and drop. The car was on time and the driver was polite. Overall, we had a wonderful and safe experience.","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r954757400-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452389554","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg","1200","0","1","www.tripadvisor.com/Profile/Pioneer39336413220","Pioneer39336413220","10A6B4D2BB882AF29F6BF3B9293C3ECB",,,,,"Pioneer39336413220",,"General Manager","955735719","en","2024-06-18","Thilak S","Dear Pioneer39336413220, thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. Your accolades about our room , helpful staff and  tasty food  is truly appreciated.
We truly look forward welcoming you back to the hotel. 
Warm regards,
Thilak.S
General Manager ","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Great hotel in the Jayanagar neighborhood","5","2024-01","2024-01-24","This is a great hotel in the Jayanagar neighborhood. Four star experience at 3 star prices. My family stayed here for about 3 weeks while we had a family member admitted at NIMHANS. Close proximity to NIMHANS was very useful. The rooms and bathrooms are clean and spacious. The beds are very comfortable. Two great restaurants, one themed North Indian and one South Indian, on site. The breakfast buffet, included in room charge, is wonderful and includes non-vegetarian items such as made to order omelettes. The customer service is particularly impressive. I would like to mention the manager, Md. Nasim, who went out of his way to make our stay comfortable and give us a great discounted price for a long stay.","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r935198729-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"50","142684973","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/81/33/2d/ajai-k.jpg","50","0","1","www.tripadvisor.com/Profile/270ajaik","Ajai K","33C2B772B9BA559BBCB99B5570A0408D",,,,,"270ajaik",,"General Manager","948348808","en","2024-04-26","Thilak S","Dear Ajai K,    thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. We take pride in providing a clean and comfortable space for all of our guests. Your accolades for our  both restaurants , breakfast and impressive service is truly appreciated . I appreciate your recognition for the genuine hospitality extended by Md. Nasim during your stay, he will be thrilled that he was  able to create special memories for you, and I will ensure that  he is  recognized for their exemplary service. .  What else can we expect from our guest more than  this fantastic feedback about your experience with us for 3 weeks of stay.  Thank you once again for this lovely feedback . We truly look forward welcoming you back to the hotel

Warm regards,
Thilak. S
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Hotel not safe!!!","1","2023-12","2024-01-21","This hotel is UNSAFE!!
Pre-paid & booked this hotel room for family events from Dec 3 to Dec 23. 
Due to centrally located location, we decided to book this hotel. After we arrived on Dec 3 around 3am, our room was not available but were given a standard room until noon time. Then we have to travel to another state for few days leaving all our luggage and personal belongings in the room. The manager & other hotel staff entered our room and moved our belongings without our consent & may be to rent it out to while we are out & may be pocket the revenue. During this illegal activities, they removed my wife's insulin pens from the refrigerator and left in one our bags and thus destroying the pens after we found out when we arrived back in the hotel. The staff went through our entire personal belongings in the closet. Nothing was stolen other than insulin pens were destroyed and dumping all our personal belongings in plastic bags.
I immediately called the front office manager, Md. Nasim and informed about the incident. The manager never provided explanation as to why and who went through our stuff while were out. Definitely looks like the manager is also involved in this illegal activities.
I even emailed to the hotel management and didn't even get a single response.

Stay away from Hotel President. It is unsafe. I do not recommend it to any one!!","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r934934907-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452387495","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg","1200","0","6","www.tripadvisor.com/Profile/vasudevn2013","Dave N","84DC16306B91048574B7125AB9CD16EF",,,,,"vasudevn2013",,,,,,,,"#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"A good option for a short stay","4","2024-01","2024-01-07","We were in town to attend a wedding and needed accommodation for 2 nights close to the venue. The President Hotel fit our needs quite well. The room is compact/cosy (basically small but not in a bad way) and it could be cramped for longer stays but for 2 nights, it was not a problem. 
The room was clean, the beds were comfortable. The breakfast buffet has a large variety of fresh food that is mostly good - stick to the popular local favorites and you won't go wrong. 
They were renovating the 1st floor while we were there so noise was a slight problem during the day but they accommodated our request and gave us a room on a higher floor a little away from the noise. It didn't help much but I did appreciate that they tried. 
The staff are what makes this hotel a delight. Very friendly, polite, helpful. I asked for help in tying my saree for the event and Maya a very sweet girl was really helpful.  
This hotel is a good option for mid-budget travelers. ","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r932736410-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452387690","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","1200","8","34","www.tripadvisor.com/Profile/unnati_sethi","nattinutty","A39458EFF23E6E008CE1E35376BCB1B3",,"32655","Los Angeles, California","Los Angeles","unnati_sethi",,"General Manager","934107544","en","2024-01-15","Thilak S","Dear nattinutty ,thank you for visiting The President Hotel Bangalore, we are humbled and delighted to hear about your experience and we ensure you will have a good time with us always. Apologies for the inconvenience  caused  due to the maintenance  work .  Your accolades for our location , clean room, comfortable bed  and the breakfast buffet is truly appreciated . I appreciate your recognition for the genuine hospitality extended during your stay by so many of our talented team members, they are all thrilled that they were able to create special memories for you. We truly look forward welcoming you back to the hotel. 
Warm regards,
Thilak.S 
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
"Exceptional Stay at The President Hotel, Jayanagar, Bangalore.","5","2024-01","2024-01-07","During my recent visit to Bangalore, India, from the United States, I had the pleasure of staying at the President Hotel, Jayanagar. This hotel is a shining example of exceptional hospitality and comfort.

From the moment I stepped in, I was impressed by the immaculate cleanliness of the hotel. The management prioritizes a well-maintained and hygienic environment. I stayed in an executive room for two days, which was not only spacious but also elegantly decorated, providing a luxurious feel.

The on-site restaurant was a delightful surprise. Especially if you like Andhra-style food then you will not be disappointed. The included breakfast offered a wide variety of choices, catering to different tastes and preferences. We were so impressed with the quality of the food that we decided to have our dinners there as well.
The President Hotel stands out as an ideal family-friendly hotel.

The pleasant experience here is something I would highly recommend to anyone visiting Bangalore.","https://www.tripadvisor.com/ShowUserReviews-g297628-d677989-r932704449-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html",,"1200","452386394","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg","1200","0","1","www.tripadvisor.com/Profile/935prashantk","Prashant K","FFD58108A00B94DB02F71ADC2CBBB95F",,,,,"935prashantk",,"General Manager","934109998","en","2024-01-15","Thilak S","Dear prashant K ,thank you for providing feedback on your recent experience at The President Hotel Jayanagar, “We are so grateful for your 5-star review. Thanks for sharing your rating with us and the community.”
We take pride in providing a clean and comfortable room  for all of our guests, so our team appreciates that you noticed. We are absolutely excited  to  hear that  we  have pampered  your taste buds with our food quality. Our team works very hard to create great experiences for our customers and were happy to hear that we hit the mark. It's customers like you that make the grind worth it. 
 Once again thankyou so much for sharing this wonderful feedback and for your recommendation.
 We truly look forward welcoming you back to the hotel. 
Warm regards,
Thilak.S 
General Manager","#79/8 Diagonal Road,elephant rock road Jayanagar, 3rd Block, Bengaluru 560011 India","Bengaluru","India","560011","Karnataka","#79/8 Diagonal Road,elephant rock road","Jayanagar, 3rd Block","677989","12.92896","Bengaluru, Bangalore District, Karnataka","77.582","The President Hotel","304","3.8","26","12","45","120","101","https://www.tripadvisor.com/Hotel_Review-g297628-d677989-Reviews-The_President_Hotel-Bengaluru_Bangalore_District_Karnataka.html","http://www.paihotels.com/president/location.htm"
