"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Very good","5","2025-11","2025-11-16","We loved okra it was a nice place I liked their staff their service was excellent and really helped us alot throughout our dining especially thanks to maria,mami,sangi,sanjay and mousomi thanks to all of the staff and managers","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1039236105-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452387615","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","1200","0","1","www.tripadvisor.com/Profile/Seaside19007998136","Seaside19007998136","5E2A20D8B00135D5D5A472E08DD8B5E4",,,,,"Seaside19007998136",,"General Manager","1039304919","en","2025-11-16","Amardeep Singh","Dear TripAdvisor member,

Thank you so much for your wonderful feedback. We’re delighted to hear that you enjoyed your experience at Okra. It’s great to know that our team’s service made your visit memorable, and we truly appreciate your kind recognition of Maria, Mami, Sangi, Sanjay, and Mousomi.

Your appreciation means a lot to the entire team, and we look forward to welcoming you back soon.

Warm regards,
Amardeep  Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Excellent Stay and hospitality experience at Hyderabad Marriott ","5","2024-12","2024-12-31","Hyderabad Marriott is located near Hussain Sagar Lake and some rooms will have Lakeview and tank bund view. Rooms are spacious with all amenities. Staff is courteous. They have a big convention hall and hence organise many corporate and social events. This is one of the best stay option in Secunderabad area. Food is tasty with decent portion size. They have good dining and buffet options but we had in room dining","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r987185757-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html",,"1200","452390706","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg","1200","0","343","www.tripadvisor.com/Profile/ChandanShirbhayye","Chandan Shirbhayye","5686584ED9A98CC45A82298ED47EFEFF",,"297586","Hyderabad, India","Hyderabad","ChandanShirbhayye",,"General Manager","1038450820","en","2025-11-10","Amardeep Singh","Dear TripAdvisor Member,

Thank you for your kind words and for choosing to stay with us. We are thrilled to know you enjoyed the views, spacious rooms, and our hospitality. Your appreciation of our location, amenities, and dining options means a lot to the team. We look forward to welcoming you back for another memorable experience.

Warm regards,
Amardeep Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre
","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Very good","5","2025-11","2025-11-16","We really had a great experience with Okra team their staff are very good Mami,terini,sangi,sanjay,maria they help alot and we are very happy to dine with them...............","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1039235521-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452390771","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg","1200","0","2","www.tripadvisor.com/Profile/TrilochanBehera","Trilochan Behera","614A0F53B0CFC35DD3553A0DB1F4AA9C",,,,,"TrilochanBehera",,,,,,,,"Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Good","5","2025-11","2025-11-16","Maria escorted us and we had a good experience with okra restaurant and their food and service was excellent and we loved it.............","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1039234803-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452390050","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg","1200","0","1","www.tripadvisor.com/Profile/rajatb54","Rajat B","5DB7D37C9180123A164E14B847675721",,,,,"rajatb54",,,,,,,,"Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Good","5","2025-11","2025-11-13","We really had a great experience with okra restaurants we like the place, and also really enjoyed by the staff ,great services and hope to visit again someday","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038872734-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452391546","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg","1200","0","1","www.tripadvisor.com/Profile/534balas","Bala S","2F2E6EA6AC3C93C5F1CFEB4C26851CAC",,,,,"534balas",,,,,,,,"Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Good place to stay","5","2025-11","2025-11-13","It’s a nice Hotel. God location near the Hussain Sagar Lake. Nice buffet spread at Okra restaurant. Staff is very courteous.","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038872548-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452390706","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg","1200","9","4","www.tripadvisor.com/Profile/himanshubhutiani","Himanshu","7D7200399C16A217BC5A314B6289BDD2",,"677469","Faridabad, India","Faridabad","himanshubhutiani",,,,,,,,"Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"One of the best in hospitality!","5","2025-11","2025-11-12","Had a great time at the hotel, starting from seamless check-in which was championed by Kaif at the front desk to getting into the room where Siraj had a small surprise for my daughter as it was her birthday, so they had put in some balloons and ofcourse a cake, which my daughter absolutely enjoyed!
Coming to the overall service we got at the lounge and at the restaurant, was truly commendable. A big shout out to Eba for taking care of our needs and requirement. Overall all the staff were very humble and excelled at their service.
Room we had was superb, with a view to the Hussain Sagar lake and cant leave without mention about the food,  vast choice and spreads and equally tasty.
Would definitely stay here again!","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038803171-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1960","834615075","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/bf/37/23/caption.jpg","2048","37","243","www.tripadvisor.com/Profile/SamratBanerjee","SamratBanerjee","AF4DFF1C4D4125DC7BB32EA56CD54BC3",,"12375742","Gurgaon District, India","Gurgaon District","SamratBanerjee",,"General Manager","1038817855","en","2025-11-12","Amardeep Singh","Dear TripAdvisor Member,

Thank you for sharing such a heartwarming review with us. We are truly delighted to know that your experience—from the seamless check-in led by Kaif, to the thoughtful birthday surprise arranged by Siraj, made your visit memorable for your daughter and your family. It’s wonderful to hear that Eba and our team at the lounge and restaurant were able to take care of your needs with such dedication. Your kind words about our hospitality, the scenic view of Hussain Sagar Lake from your room, and the culinary offerings mean a lot to us. We are grateful for your appreciation of our team’s efforts and are thrilled to have been a part of your celebration. We look forward to welcoming you back for another exceptional stay.

Warm regards,
Amardeep Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Very good","5","2025-11","2025-11-12","We really had a great experience with okra team while dining in it,and love their services and hope to visit soon .........","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038745484-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452391174","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg","1200","0","1","www.tripadvisor.com/Profile/NorthStar12127569324","NorthStar12127569324","B7F396C1CD3E724E2E759B16A2C113D5",,,,,"NorthStar12127569324",,"General Manager","1038815076","en","2025-11-12","Amardeep Singh","Dear TripAdvisor Member,

Thank you for sharing your wonderful feedback. We are delighted to know that you had a great experience with our Okra team and enjoyed the dining services. Your kind words mean a lot to us, and we truly appreciate your support. We look forward to welcoming you back soon for another memorable experience.

Warm regards,
Amardeep Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre
","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Very good","5","2025-11","2025-11-11","We really have a great experience with okra restaurants  and really like the services with miss Maria and hope to visit again","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038619419-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452388139","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg","1200","0","1","www.tripadvisor.com/Profile/Safari54069265726","Safari54069265726","3FAB1D6BE67737060543401B7DC91820",,,,,"Safari54069265726",,"General Manager","1038815112","en","2025-11-12","Amardeep Singh","Dear TripAdvisor Member,

Thank you for sharing your lovely feedback. We are thrilled to know that you had a wonderful experience at Okra and appreciated the attentive service provided by Miss Maria. Your kind words are truly encouraging for our team. We look forward to welcoming you back soon for another delightful dining experience.

Warm regards,
Amardeep Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre

","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
"Review","5","2025-11","2025-11-09","I had a wonderful stay here. I would especially like to thank Ms Maria of Okra restaurant. Her service was excellent.  The restaurant here had delicious food. Will definitely recommend. Kudos to the service and amenities of this hotel.","https://www.tripadvisor.com/ShowUserReviews-g297586-d620076-r1038342818-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangan.html",,"1200","452389009","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","1200","0","1","www.tripadvisor.com/Profile/Departure44250216990","Departure44250216990","93597E5A5CB89A86FE2451E0B553A552",,,,,"Departure44250216990",,"General Manager","1038714979","en","2025-11-12","Amardeep Singh","Dear TripAdvisor Member,

Thank you for your kind review. We are so pleased to hear that you had a wonderful stay and that Ms Maria at Okra restaurant made your experience even more special with her excellent service. It’s always a pleasure to know our guests enjoyed the food and found the amenities up to standard. Your recommendation means a great deal to us, and we truly appreciate your thoughtful words. We look forward to welcoming you back again soon.

Warm regards,
Amardeep Singh
General Manager
Hyderabad Marriott Hotel and Convention Centre

","Tank Bund Road, Opposite Hussain Sagar Lake Opposite Hussain Sagar Lake, Hyderabad 500080 India","Hyderabad","India","500080","Telangana","Tank Bund Road, Opposite Hussain Sagar Lake","Opposite Hussain Sagar Lake","620076","17.423943","Hyderabad, Hyderabad District, Telangana","78.48766","Hyderabad Marriott Hotel & Convention Centre","2176","4.4","70","69","197","490","1350","https://www.tripadvisor.com/Hotel_Review-g297586-d620076-Reviews-Hyderabad_Marriott_Hotel_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html","https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/"
