"title","rating","travelDate","publishedDate","text","url","user/avatar","user/avatar/height","user/avatar/id","user/avatar/image","user/avatar/width","user/contributions/helpfulVotes","user/contributions/totalContributions","user/link","user/name","user/userId","user/userLocation","user/userLocation/id","user/userLocation/name","user/userLocation/shortName","user/username","ownerResponse","ownerResponse/connectionToSubject","ownerResponse/id","ownerResponse/lang","ownerResponse/publishedDate","ownerResponse/responder","ownerResponse/text","placeInfo/address","placeInfo/addressObj/city","placeInfo/addressObj/country","placeInfo/addressObj/postalcode","placeInfo/addressObj/state","placeInfo/addressObj/street1","placeInfo/addressObj/street2","placeInfo/id","placeInfo/latitude","placeInfo/locationString","placeInfo/longitude","placeInfo/name","placeInfo/numberOfReviews","placeInfo/rating","placeInfo/ratingHistogram/count1","placeInfo/ratingHistogram/count2","placeInfo/ratingHistogram/count3","placeInfo/ratingHistogram/count4","placeInfo/ratingHistogram/count5","placeInfo/webUrl","placeInfo/website"
"Disappointing stay at this Srinagar hotel.","1","2025-04","2025-04-13","I had a disappointing experience at this hotel Batra in Srinagar. The staff was uncooperative, and the management seemed ineffective. Specifically, I had issues with Irshad, who was particularly unhelpful. I would advise potential guests to exercise caution before booking their stay here. Unfortunately, my overall experience was marred by poor service and a lack of hospitality.""","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r1002228507-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmi.html",,"1200","452390050","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg","1200","0","4","www.tripadvisor.com/Profile/parthpY6566LZ","Parth P","0415EBD4292EF3FF0D5C4897EC3183BB",,,,,"parthpY6566LZ",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Not satisfied at all","1","2024-12","2024-12-29","Rooms are good but bathroom is yuck… as well as restaurant staff is not Co op. If u ask for anything may u get answer that take it on ur own… overl all is not satisfactory.. they can improve it… pure veg is plus point but now days it’s available everywhere","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r986926629-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1200","452388955","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","1200","7","130","www.tripadvisor.com/Profile/Falakaashi","Shrikes sanghvi","1F3135894F4B7D2EBF98CA86AD7C7E17",,"304554","Mumbai, India","Mumbai","Falakaashi",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Unprofessional Higher Management","1","2024-12","2024-12-08","When I booked Hotel Batra, I assumed that the hotel will have some standards and I will have a comfortable stay.  When I checked-in, I was amazed to see how Ms.Asima handled the conversation and I immediately felt comfortable with the two lovely ladies at the Front Office.  My stay was comfortable with the cordial staff, more so my everyday interaction with the ladies at the FO.  To further clarify, me as a single woman staying at the hotel, I had many inhibitions; but, Ms.Asima and Ms.Bismah really made me feel relaxed.  They treated me more than a guest.  However,  today, i.e. on 7th December my check-out was a nightmare.  It completely overshadowed my lovely stay and I left with a horrible impression of Hotel Batra.  While checking out, by mistake the FO charged the extra 5k of advance that I had paid earlier.  Mistakes happen and we all are humans.  Infact to err ìs human.  I wasn't that worried coz I knew that there are official procedures to handle this, for instance a 'paid out voucher' is all they needed.  Which the management lied to me saying that they don't have the authority on anything.  FYI, I belong to the hotel industry and we know all the processes.   The management thought I was a foolish guest.  To make things worse, I immediately heard a loud bang on the wall of the Front Office.  I was taken aback and when Ms. Bismah turned around to go to  the next door, I realized somebody called out.  Ohmygod! Which manager calls out an employee, with a loud bang on the wall??? I was a guest standing, any many others were walking in to take the lift.  Then I hear Ms.Asima being called in.  And at the top of his voice, some bloody manager yelled at the girls asking them to leave the work and go.  I and other guests could hear the whole conversation in the lobby.  Then I see the girls coming out in tears.  All this for bloody 5k??? My questions to the General Manager of the hotel are:
-If these girls have done a mistake, what did the Operations Manager do??? He has completely spoiled the reputation of your hotel.
-If women are treated like this in a workplace, what hospitality can you provide the guests, especially women? Which means I can also be ill treated any time.
-How dare the OM shout at the girls, but did not have the guts to come and talk to me? 
-Is this how your lower staff is treated in the hotel? Then, why is he an OM?  He doesn't deserve that position.
I wanted to get inside and give him a piece of my mind, but the girls at the FO requested me not to.  Ms.Asima could not even face me and talk.  If this isn't a terrible thing, then what is?
My last impression of my stay is unbelievably horrible.  I was supposed to come back this month end to stay again.  But I shall not, and I shall also ask my friends and family never to stay at Hotel Batra again.  With a hope that action will be taken against the OM, if not hospitality is just a word which is unpracticed.  This unprofessional behavior should not be let gone.","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r983600039-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1200","452361217","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","1200","0","2","www.tripadvisor.com/Profile/ghazalat2019","ghazala t","296A6CEB4CE574F9B062C259BC7D92DA",,,,,"ghazalat2019",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Disappointing Stay","2","2024-11","2024-11-07","Except reception area rooms and restaurant not up to the mark. Rooms were not cleaned properly. Moreover the washrooms were dirty. It lacked basic amenities like clean water for bathing and dental kits. Commodes were not maintained at all. Food quality at the restaurant was just OK with very limited options. It's advisable to have your dinner at Krishna Vaishno Dhaba which is just opposite the hotel ","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r979069216-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1024","773454595","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/19/fb/03/caption.jpg","1024","0","13","www.tripadvisor.com/Profile/Pintu64","Manish","E141D62D435BE65A7180EFA954A0D063",,"297648","Maharashtra, India","Maharashtra","Pintu64",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Good experience","5","2024-11","2024-11-04","Batra Hotel in Srinagar offers a pleasant stay with notable features. Guests appreciate the friendly staff and delicious food, often highlighting the warm hospitality and good service. The hotel is as clean and well-maintained as described. It is near dal lake    Overall, Batra Hotel is recommended for those seeking comfort and good service in Srinagar.","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r978649776-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,,,,,"0","16","www.tripadvisor.com/Profile/NorthStar23558407842","NorthStar23558407842","D0BAA6A15F52E685552443AA8A172144",,,,,"NorthStar23558407842",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Excellent stay in HOTEL BATRA - SRINAGAR.","5","2024-10","2024-10-10","We had booked 2 rooms.

1. Very good and well maintained rooms.

2. Excellent food for vegetarians. Since, we do not consume onions, garli, raddish, etc the restaurant (NIRAMISH) ensured we are appropriately taken care of during our entire stay of 7 nights. The variety offered was also appreciable. Special thanks to Sajjad, Tanveer and team for taking good care of us.

3. We had booked the hotel car for the entire stay of 6 days. The driver gentleman, Mr.Aijaz was very pleasant to interact with and guided us very well. He was PATIENCE PERSONIFIED.

Swaminathan (from Chennai)","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r973345216-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1200","452387402","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","1200","0","2","www.tripadvisor.com/Profile/Trip42369618123","Trip42369618123","6E3221A3D3F963A32C41A1E53F446663",,,,,"Trip42369618123",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Best place to stay for veg food lovers","5","2024-10","2024-10-03","One of the best place to stay in srinagar for vegetarian persons.. you must visit here and meet Mr Zaheer here.. all others were also helpful. The food quality is also good..room hygiene is good ..lift was having some issue but hopefully must be resolved by now..","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r972474482-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,,,,,"1","5","www.tripadvisor.com/Profile/Abhishaeksir","CA Minakshi Chauhan","D6BF46A8A0D8F6AF679B237489E8CFD6",,"297596","Chandigarh, India","Chandigarh","Abhishaeksir",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Nice hotel","5","2024-07","2024-07-12","Fantastic property gracious staff fantastic location and great food great view huge spacious rooms,the room and restaurant are begin updated ,we have heard a lot about kashmir hospitality and now it's feels great experience I will recommend must visit hotel of Kashmir if you are staying in Srinagar over all great experience staff is so humble and well professional Thanks to everyone..... specially Bisma and Asifa Mehraj","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r959259747-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1200","452391125","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","1200","0","1","www.tripadvisor.com/Profile/Nomad08815827614","Nomad08815827614","323E0009711803E01434C6ADF9225284",,,,,"Nomad08815827614",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"Simply superb.","4","2024-06","2024-07-03","The restaurant at Batras served excellent food, that we will remember for long time. Rooms are just okay 
 One suggestion for the management- Please do not allot roomm no. 107  or those above it  as 1/3rd area is taken away by  the lift shaft. Please keep it up.","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r957781240-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"1200","452391441","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg","1200","0","1","www.tripadvisor.com/Profile/Departure15058731750","Departure15058731750","D6F75C8D99A9DB8F89DE7453B59AD060",,,,,"Departure15058731750",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
"LOWEST GRADE SERVICE POSSIBLE","1","2024-06","2024-06-30","We went for a snack. 
Floor Manager behaved like, why the hell are you here?
A staff said,  Please sit,  We will serve. 
We ordered Tea, Pakara & Grilled sandwich. 
What we received was COLD TEA, 6 COLD PIECES OF BREAD WITH ONLY CHEESE IN IT, NO VEGETABLES, DRESSING OR ANYTHING ELSE.
When we were about to get up after consuming cold bread with cold TEA the guy brought Pakara which were also drenched in oil.When we went for the bill at the counter the floor manager said that The TEA was complementary  like it justifies the pathetic quality of service.

STAY AWAY!!!!!!","https://www.tripadvisor.com/ShowUserReviews-g297623-d3653779-r957359786-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html",,"400","218552887","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/06/da/37/kulbirsinghvilkhu.jpg","400","3","11","www.tripadvisor.com/Profile/KulbirSinghVilkhu","Kulbir S","1D871DF9313B105FB377B64194251446",,"297596","Chandigarh, India","Chandigarh","KulbirSinghVilkhu",,,,,,,,"Pure Vegetarian Hotel Durganag, Dalgate, Dallake, Srinagar 190001 India","Srinagar","India","190001","Jammu and Kashmir","Pure Vegetarian Hotel","Durganag, Dalgate, Dallake","3653779","34.07521","Srinagar, Srinagar District, Kashmir, Jammu and Kashmir","74.83158","Batra Hotels And Residences","643","4.4","35","16","42","130","420","https://www.tripadvisor.com/Hotel_Review-g297623-d3653779-Reviews-Batra_Hotels_And_Residences-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","https://www.batrahotelsandresidences.com/"
